Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D1,13/01/18,Hannover,Mainz,3,2,H,2
D1,13/01/18,RB Leipzig,Schalke 04,3,1,H,1
D1,13/01/18,Stuttgart,Hertha,1,0,H,0
D1,13/01/18,Werder Bremen,Hoffenheim,1,1,D,0
D1,14/01/18,Dortmund,Wolfsburg,0,0,D,0
D1,14/01/18,FC Koln,M'gladbach,2,1,H,1
D1,19/01/18,Hertha,Dortmund,1,1,D,0
D1,20/01/18,Freiburg,RB Leipzig,2,1,H,0
D1,20/01/18,Hamburg,FC Koln,0,2,A,0
D1,20/01/18,Hoffenheim,Leverkusen,1,4,A,0
D1,20/01/18,Mainz,Stuttgart,3,2,H,1
D1,20/01/18,M'gladbach,Augsburg,2,0,H,1
D1,20/01/18,Wolfsburg,Ein Frankfurt,1,3,A,0
D1,21/01/18,Bayern Munich,Werder Bremen,4,2,H,1
D1,21/01/18,Schalke 04,Hannover,1,1,D,1
D1,26/01/18,Ein Frankfurt,M'gladbach,2,0,H,1
D1,27/01/18,Bayern Munich,Hoffenheim,5,2,H,2
D1,27/01/18,Dortmund,Freiburg,2,2,D,1
D1,27/01/18,FC Koln,Augsburg,1,1,D,1
D1,27/01/18,RB Leipzig,Hamburg,1,1,D,1
D1,27/01/18,Stuttgart,Schalke 04,0,2,A,0
D1,27/01/18,Werder Bremen,Hertha,0,0,D,0
D1,28/01/18,Hannover,Wolfsburg,0,1,A,0
D1,28/01/18,Leverkusen,Mainz,2,0,H,0
D1,02/02/18,FC Koln,Dortmund,2,3,A,0
D1,03/02/18,Freiburg,Leverkusen,0,0,D,0
D1,03/02/18,Hertha,Hoffenheim,1,1,D,0
D1,03/02/18,Mainz,Bayern Munich,0,2,A,0
D1,03/02/18,M'gladbach,RB Leipzig,0,1,A,0
D1,03/02/18,Schalke 04,Werder Bremen,1,2,A,1
D1,03/02/18,Wolfsburg,Stuttgart,1,1,D,1
D1,04/02/18,Augsburg,Ein Frankfurt,3,0,H,1
D1,04/02/18,Hamburg,Hannover,1,1,D,0
D1,09/02/18,RB Leipzig,Augsburg,2,0,H,1
D1,10/02/18,Bayern Munich,Schalke 04,2,1,H,2
D1,10/02/18,Dortmund,Hamburg,2,0,H,0
D1,10/02/18,Ein Frankfurt,FC Koln,4,2,H,1
D1,10/02/18,Hannover,Freiburg,2,1,H,1
D1,10/02/18,Hoffenheim,Mainz,4,2,H,1
D1,10/02/18,Leverkusen,Hertha,0,2,A,0
D1,11/02/18,Stuttgart,M'gladbach,1,0,H,1
D1,11/02/18,Werder Bremen,Wolfsburg,3,1,H,2
D1,16/02/18,Hertha,Mainz,0,2,A,0
D1,17/02/18,FC Koln,Hannover,1,1,D,1
D1,17/02/18,Freiburg,Werder Bremen,1,0,H,1
D1,17/02/18,Hamburg,Leverkusen,1,2,A,0
D1,17/02/18,Schalke 04,Hoffenheim,2,1,H,2
D1,17/02/18,Wolfsburg,Bayern Munich,1,2,A,1
D1,18/02/18,Augsburg,Stuttgart,0,1,A,0
D1,18/02/18,M'gladbach,Dortmund,0,1,A,0
D1,19/02/18,Ein Frankfurt,RB Leipzig,2,1,H,2
D1,23/02/18,Mainz,Wolfsburg,1,1,D,1
D1,24/02/18,Bayern Munich,Hertha,0,0,D,0
D1,24/02/18,Hannover,M'gladbach,0,1,A,0
D1,24/02/18,Hoffenheim,Freiburg,1,1,D,0
D1,24/02/18,Stuttgart,Ein Frankfurt,1,0,H,1
D1,24/02/18,Werder Bremen,Hamburg,1,0,H,0
D1,25/02/18,Leverkusen,Schalke 04,0,2,A,0
D1,25/02/18,RB Leipzig,FC Koln,1,2,A,1
D1,26/02/18,Dortmund,Augsburg,1,1,D,1
D1,02/03/18,M'gladbach,Werder Bremen,2,2,D,2
D1,03/03/18,Augsburg,Hoffenheim,0,2,A,0
D1,03/03/18,Ein Frankfurt,Hannover,1,0,H,1
D1,03/03/18,Hamburg,Mainz,0,0,D,0
D1,03/03/18,RB Leipzig,Dortmund,1,1,D,1
D1,03/03/18,Schalke 04,Hertha,1,0,H,1
D1,03/03/18,Wolfsburg,Leverkusen,1,2,A,0
D1,04/03/18,FC Koln,Stuttgart,2,3,A,1
D1,04/03/18,Freiburg,Bayern Munich,0,4,A,0
D1,09/03/18,Mainz,Schalke 04,0,1,A,0
D1,10/03/18,Bayern Munich,Hamburg,6,0,H,3
D1,10/03/18,Hannover,Augsburg,1,3,A,1
D1,10/03/18,Hertha,Freiburg,0,0,D,0
D1,10/03/18,Hoffenheim,Wolfsburg,3,0,H,1
D1,10/03/18,Leverkusen,M'gladbach,2,0,H,1
D1,11/03/18,Dortmund,Ein Frankfurt,3,2,H,1
D1,11/03/18,Stuttgart,RB Leipzig,0,0,D,0
D1,12/03/18,Werder Bremen,FC Koln,3,1,H,1
D1,16/03/18,Freiburg,Stuttgart,1,2,A,0
D1,17/03/18,Augsburg,Werder Bremen,1,3,A,0
D1,17/03/18,Ein Frankfurt,Mainz,3,0,H,3
D1,17/03/18,Hamburg,Hertha,1,2,A,1
D1,17/03/18,M'gladbach,Hoffenheim,3,3,D,1
D1,17/03/18,Wolfsburg,Schalke 04,0,1,A,0
D1,18/03/18,Dortmund,Hannover,1,0,H,1
D1,18/03/18,FC Koln,Leverkusen,2,0,H,1
D1,18/03/18,RB Leipzig,Bayern Munich,2,1,H,1
D1,31/03/18,Bayern Munich,Dortmund,6,0,H,5
D1,31/03/18,Hannover,RB Leipzig,2,3,A,0
D1,31/03/18,Hertha,Wolfsburg,0,0,D,0
D1,31/03/18,Hoffenheim,FC Koln,6,0,H,1
D1,31/03/18,Leverkusen,Augsburg,0,0,D,0
D1,31/03/18,Schalke 04,Freiburg,2,0,H,0
D1,31/03/18,Stuttgart,Hamburg,1,1,D,1
D1,01/04/18,Mainz,M'gladbach,0,0,D,0
D1,01/04/18,Werder Bremen,Ein Frankfurt,2,1,H,1
D1,06/04/18,Hannover,Werder Bremen,2,1,H,2
D1,07/04/18,Augsburg,Bayern Munich,1,4,A,1
D1,07/04/18,FC Koln,Mainz,1,1,D,1
D1,07/04/18,Freiburg,Wolfsburg,0,2,A,0
D1,07/04/18,Hamburg,Schalke 04,3,2,H,1
D1,07/04/18,M'gladbach,Hertha,2,1,H,0
