Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,10/01/2021,17:00,Fiorentina,Cagliari,1,0,H
I1,10/01/2021,19:45,Juventus,Sassuolo,3,1,H
I1,11/01/2021,19:45,Spezia,Sampdoria,2,1,H
I1,15/01/2021,19:45,Lazio,Roma,3,0,H
I1,16/01/2021,14:00,Bologna,Verona,1,0,H
I1,16/01/2021,17:00,Torino,Spezia,0,0,D
I1,16/01/2021,19:45,Sampdoria,Udinese,2,1,H
I1,17/01/2021,11:30,Napoli,Fiorentina,6,0,H
I1,17/01/2021,14:00,Crotone,Benevento,4,1,H
I1,17/01/2021,14:00,Sassuolo,Parma,1,1,D
I1,17/01/2021,17:00,Atalanta,Genoa,0,0,D
I1,17/01/2021,19:45,Inter,Juventus,2,0,H
I1,18/01/2021,19:45,Cagliari,Milan,0,2,A
I1,20/01/2021,14:00,Udinese,Atalanta,1,1,D
I1,22/01/2021,19:45,Benevento,Torino,2,2,D
I1,23/01/2021,14:00,Roma,Spezia,4,3,H
I1,23/01/2021,17:00,Milan,Atalanta,0,3,A
I1,23/01/2021,17:00,Udinese,Inter,0,0,D
I1,23/01/2021,19:45,Fiorentina,Crotone,2,1,H
I1,24/01/2021,11:30,Juventus,Bologna,2,0,H
I1,24/01/2021,14:00,Genoa,Cagliari,1,0,H
I1,24/01/2021,14:00,Verona,Napoli,3,1,H
I1,24/01/2021,17:00,Lazio,Sassuolo,2,1,H
I1,24/01/2021,19:45,Parma,Sampdoria,0,2,A
I1,29/01/2021,19:45,Torino,Fiorentina,1,1,D
I1,30/01/2021,14:00,Bologna,Milan,1,2,A
I1,30/01/2021,17:00,Sampdoria,Juventus,0,2,A
I1,30/01/2021,19:45,Inter,Benevento,4,0,H
I1,31/01/2021,11:30,Spezia,Udinese,0,1,A
I1,31/01/2021,14:00,Atalanta,Lazio,1,3,A
I1,31/01/2021,14:00,Cagliari,Sassuolo,1,1,D
I1,31/01/2021,14:00,Crotone,Genoa,0,3,A
I1,31/01/2021,17:00,Napoli,Parma,2,0,H
I1,31/01/2021,19:45,Roma,Verona,3,1,H
I1,05/02/2021,19:45,Fiorentina,Inter,0,2,A
I1,06/02/2021,14:00,Atalanta,Torino,3,3,D
I1,06/02/2021,14:00,Sassuolo,Spezia,1,2,A
I1,06/02/2021,17:00,Juventus,Roma,2,0,H
